threshold,margin,val_reward,test_reward,delta_vs_BS,switch_count,beneficial_switch_rate,harmful_switch_rate,false_switch_rate
0.5,0.0,0.800000011920929,0.5149999856948853,0.034999996423721313,196,0.05612244897959184,0.02040816326530612,0.4897959183673469
0.5,0.02,0.800000011920929,0.5149999856948853,0.034999996423721313,196,0.05612244897959184,0.02040816326530612,0.4897959183673469
0.5,0.05,0.800000011920929,0.5149999856948853,0.034999996423721313,196,0.05612244897959184,0.02040816326530612,0.4897959183673469
0.5,0.1,0.800000011920929,0.5149999856948853,0.034999996423721313,196,0.05612244897959184,0.02040816326530612,0.4897959183673469
0.6,0.0,0.7900000214576721,0.5199999809265137,0.03999999165534973,187,0.053475935828877004,0.0106951871657754,0.4919786096256685
0.6,0.02,0.7900000214576721,0.5199999809265137,0.03999999165534973,187,0.053475935828877004,0.0106951871657754,0.4919786096256685
0.6,0.05,0.7900000214576721,0.5199999809265137,0.03999999165534973,187,0.053475935828877004,0.0106951871657754,0.4919786096256685
0.6,0.1,0.7900000214576721,0.5199999809265137,0.03999999165534973,187,0.053475935828877004,0.0106951871657754,0.4919786096256685
0.7,0.0,0.7850000262260437,0.5149999856948853,0.034999996423721313,185,0.04864864864864865,0.010810810810810811,0.4918918918918919
0.7,0.02,0.7850000262260437,0.5149999856948853,0.034999996423721313,185,0.04864864864864865,0.010810810810810811,0.4918918918918919
0.7,0.05,0.7850000262260437,0.5149999856948853,0.034999996423721313,185,0.04864864864864865,0.010810810810810811,0.4918918918918919
0.7,0.1,0.7850000262260437,0.5149999856948853,0.034999996423721313,185,0.04864864864864865,0.010810810810810811,0.4918918918918919
0.8,0.0,0.7825000286102295,0.5149999856948853,0.034999996423721313,179,0.0446927374301676,0.00558659217877095,0.4972067039106145
0.8,0.02,0.7825000286102295,0.5149999856948853,0.034999996423721313,179,0.0446927374301676,0.00558659217877095,0.4972067039106145
0.8,0.05,0.7825000286102295,0.5149999856948853,0.034999996423721313,179,0.0446927374301676,0.00558659217877095,0.4972067039106145
0.8,0.1,0.7825000286102295,0.5149999856948853,0.034999996423721313,179,0.0446927374301676,0.00558659217877095,0.4972067039106145
0.9,0.0,0.762499988079071,0.5199999809265137,0.03999999165534973,151,0.052980132450331126,0.0,0.47019867549668876
0.9,0.02,0.762499988079071,0.5199999809265137,0.03999999165534973,151,0.052980132450331126,0.0,0.47019867549668876
0.9,0.05,0.762499988079071,0.5199999809265137,0.03999999165534973,151,0.052980132450331126,0.0,0.47019867549668876
0.9,0.1,0.762499988079071,0.5199999809265137,0.03999999165534973,151,0.052980132450331126,0.0,0.47019867549668876
0.5,0.0,0.6850000023841858,0.7400000095367432,0.030000030994415283,198,0.06565656565656566,0.03535353535353535,0.26262626262626265
0.5,0.02,0.6850000023841858,0.7400000095367432,0.030000030994415283,198,0.06565656565656566,0.03535353535353535,0.26262626262626265
0.5,0.05,0.6850000023841858,0.7400000095367432,0.030000030994415283,198,0.06565656565656566,0.03535353535353535,0.26262626262626265
0.5,0.1,0.6850000023841858,0.7400000095367432,0.030000030994415283,198,0.06565656565656566,0.03535353535353535,0.26262626262626265
0.6,0.0,0.6725000143051147,0.7400000095367432,0.030000030994415283,193,0.05699481865284974,0.025906735751295335,0.25906735751295334
0.6,0.02,0.6725000143051147,0.7400000095367432,0.030000030994415283,193,0.05699481865284974,0.025906735751295335,0.25906735751295334
0.6,0.05,0.6725000143051147,0.7400000095367432,0.030000030994415283,193,0.05699481865284974,0.025906735751295335,0.25906735751295334
0.6,0.1,0.6725000143051147,0.7400000095367432,0.030000030994415283,193,0.05699481865284974,0.025906735751295335,0.25906735751295334
0.7,0.0,0.6650000214576721,0.7400000095367432,0.030000030994415283,181,0.06077348066298342,0.027624309392265192,0.2596685082872928
0.7,0.02,0.6650000214576721,0.7400000095367432,0.030000030994415283,181,0.06077348066298342,0.027624309392265192,0.2596685082872928
0.7,0.05,0.6650000214576721,0.7400000095367432,0.030000030994415283,181,0.06077348066298342,0.027624309392265192,0.2596685082872928
0.7,0.1,0.6650000214576721,0.7400000095367432,0.030000030994415283,181,0.06077348066298342,0.027624309392265192,0.2596685082872928
0.8,0.0,0.6600000262260437,0.7450000047683716,0.0350000262260437,166,0.05421686746987952,0.012048192771084338,0.25301204819277107
0.8,0.02,0.6600000262260437,0.7450000047683716,0.0350000262260437,166,0.05421686746987952,0.012048192771084338,0.25301204819277107
0.8,0.05,0.6600000262260437,0.7450000047683716,0.0350000262260437,166,0.05421686746987952,0.012048192771084338,0.25301204819277107
0.8,0.1,0.6600000262260437,0.7450000047683716,0.0350000262260437,166,0.05421686746987952,0.012048192771084338,0.25301204819277107
0.9,0.0,0.6499999761581421,0.7450000047683716,0.0350000262260437,144,0.05555555555555555,0.006944444444444444,0.22916666666666666
0.9,0.02,0.6499999761581421,0.7450000047683716,0.0350000262260437,144,0.05555555555555555,0.006944444444444444,0.22916666666666666
0.9,0.05,0.6499999761581421,0.7450000047683716,0.0350000262260437,144,0.05555555555555555,0.006944444444444444,0.22916666666666666
0.9,0.1,0.6499999761581421,0.7450000047683716,0.0350000262260437,144,0.05555555555555555,0.006944444444444444,0.22916666666666666
0.5,0.0,0.7024999856948853,0.6899999976158142,0.05500000715255737,199,0.07537688442211055,0.020100502512562814,0.31155778894472363
0.5,0.02,0.7024999856948853,0.6899999976158142,0.05500000715255737,199,0.07537688442211055,0.020100502512562814,0.31155778894472363
0.5,0.05,0.7024999856948853,0.6899999976158142,0.05500000715255737,199,0.07537688442211055,0.020100502512562814,0.31155778894472363
0.5,0.1,0.7024999856948853,0.6899999976158142,0.05500000715255737,199,0.07537688442211055,0.020100502512562814,0.31155778894472363
0.6,0.0,0.6924999952316284,0.6850000023841858,0.050000011920928955,191,0.06806282722513089,0.015706806282722512,0.3089005235602094
0.6,0.02,0.6924999952316284,0.6850000023841858,0.050000011920928955,191,0.06806282722513089,0.015706806282722512,0.3089005235602094
0.6,0.05,0.6924999952316284,0.6850000023841858,0.050000011920928955,191,0.06806282722513089,0.015706806282722512,0.3089005235602094
0.6,0.1,0.6924999952316284,0.6850000023841858,0.050000011920928955,191,0.06806282722513089,0.015706806282722512,0.3089005235602094
0.7,0.0,0.6949999928474426,0.6850000023841858,0.050000011920928955,180,0.06111111111111111,0.005555555555555556,0.29444444444444445
0.7,0.02,0.6949999928474426,0.6850000023841858,0.050000011920928955,180,0.06111111111111111,0.005555555555555556,0.29444444444444445
0.7,0.05,0.6949999928474426,0.6850000023841858,0.050000011920928955,180,0.06111111111111111,0.005555555555555556,0.29444444444444445
0.7,0.1,0.6949999928474426,0.6850000023841858,0.050000011920928955,180,0.06111111111111111,0.005555555555555556,0.29444444444444445
0.8,0.0,0.6800000071525574,0.6850000023841858,0.050000011920928955,174,0.05747126436781609,0.0,0.28735632183908044
0.8,0.02,0.6800000071525574,0.6850000023841858,0.050000011920928955,174,0.05747126436781609,0.0,0.28735632183908044
0.8,0.05,0.6800000071525574,0.6850000023841858,0.050000011920928955,174,0.05747126436781609,0.0,0.28735632183908044
0.8,0.1,0.6800000071525574,0.6850000023841858,0.050000011920928955,174,0.05747126436781609,0.0,0.28735632183908044
0.9,0.0,0.6725000143051147,0.6700000166893005,0.0350000262260437,145,0.04827586206896552,0.0,0.2896551724137931
0.9,0.02,0.6725000143051147,0.6700000166893005,0.0350000262260437,145,0.04827586206896552,0.0,0.2896551724137931
0.9,0.05,0.6725000143051147,0.6700000166893005,0.0350000262260437,145,0.04827586206896552,0.0,0.2896551724137931
0.9,0.1,0.6725000143051147,0.6700000166893005,0.0350000262260437,145,0.04827586206896552,0.0,0.2896551724137931
0.5,0.0,0.7049999833106995,0.6850000023841858,0.08499997854232788,196,0.11734693877551021,0.030612244897959183,0.3112244897959184
0.5,0.02,0.7049999833106995,0.6850000023841858,0.08499997854232788,196,0.11734693877551021,0.030612244897959183,0.3112244897959184
