seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,1665,1,"[-2.7471511363983154, -2.769202709197998]","[-1.927777886390686, -1.9498295783996582]","[-1.1084046363830566, -1.1304563283920288]","[-0.8193732500076294, -0.8193731307983398]","[0.8193732500076294, 0.8193732500076294]",1,0
0,1665,3,"[-4.0423197746276855, -4.187017917633057]","[-1.7050573825836182, -1.8497556447982788]","[0.6322048306465149, 0.48750653862953186]","[-2.3372623920440674, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,1665,5,"[-1.9909356832504272, -2.238123655319214]","[-1.4793342351913452, -1.7265222072601318]","[-0.9677329063415527, -1.2149208784103394]","[-0.511601448059082, -0.511601448059082]","[0.5116013288497925, 0.5116013288497925]",1,0
0,1809,1,"[-4.219748020172119, -4.24044942855835]","[-3.4003748893737793, -3.4210760593414307]","[-2.5810015201568604, -2.6017026901245117]","[-0.8193731307983398, -0.819373369216919]","[0.819373369216919, 0.819373369216919]",1,0
0,1809,3,"[-5.371337890625, -5.51481819152832]","[-3.034075975418091, -3.177555561065674]","[-0.6968138813972473, -0.840293288230896]","[-2.337261915206909, -2.3372626304626465]","[2.3372621536254883, 2.3372621536254883]",1,0
0,1809,5,"[-3.1903743743896484, -3.4364633560180664]","[-2.6787736415863037, -2.9248616695404053]","[-2.167172431945801, -2.4132602214813232]","[-0.5116007328033447, -0.5116016864776611]","[0.5116012096405029, 0.511601448059082]",1,0
0,2190,1,"[-0.4669439196586609, -0.4151816964149475]","[0.3524293303489685, 0.4041915535926819]","[1.1718026399612427, 1.223564863204956]","[-0.8193732500076294, -0.8193732500076294]","[0.8193733096122742, 0.8193733096122742]",1,0
0,2190,3,"[-1.9844324588775635, -2.062513828277588]","[0.35282963514328003, 0.27474841475486755]","[2.690091848373413, 2.6120107173919678]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372623920440674]",1,0
0,2190,5,"[-0.1336924284696579, -0.320758581161499]","[0.3779087960720062, 0.19084270298480988]","[0.8895101547241211, 0.7024440765380859]","[-0.5116012096405029, -0.5116012692451477]","[0.5116013288497925, 0.5116013884544373]",1,0
0,1092,1,"[3.9527182579040527, 4.071247577667236]","[3.133344888687134, 3.2518744468688965]","[2.313971757888794, 2.4325013160705566]","[0.819373369216919, 0.8193731307983398]","[-0.8193731307983398, -0.8193731307983398]",-1,1
0,1092,3,"[5.199868202209473, 5.18204402923584]","[2.8626058101654053, 2.8447823524475098]","[0.5253437757492065, 0.5075201392173767]","[2.3372623920440674, 2.33726167678833]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,1092,5,"[3.15458345413208, 3.0218989849090576]","[2.642982006072998, 2.510298252105713]","[2.131380558013916, 1.99869704246521]","[0.511601448059082, 0.5116007328033447]","[-0.511601448059082, -0.5116012096405029]",-1,1
0,2377,1,"[-1.8402215242385864, -1.8701914548873901]","[-1.020848274230957, -1.0508182048797607]","[-0.20147497951984406, -0.23144499957561493]","[-0.8193732500076294, -0.8193732500076294]","[0.8193733096122742, 0.8193731904029846]",1,0
0,2377,3,"[-3.223815441131592, -3.3756601810455322]","[-0.8865533471107483, -1.0383979082107544]","[1.4507088661193848, 1.2988642454147339]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
