seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
3,580,1,"[-1.4717495441436768, -1.5351611375808716]","[-0.7717495560646057, -0.8351611495018005]","[-0.07174958288669586, -0.13516119122505188]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.6999999284744263]",1,0
3,580,3,"[-2.638641834259033, -2.632594347000122]","[-0.6838427782058716, -0.6777952313423157]","[1.27095627784729, 1.2770037651062012]","[-1.9547990560531616, -1.9547991752624512]","[1.9547990560531616, 1.954798936843872]",1,0
3,580,5,"[-3.653231143951416, -3.687321901321411]","[-0.6150572896003723, -0.6491481065750122]","[2.423116445541382, 2.3890256881713867]","[-3.0381739139556885, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,916,1,"[0.4725084602832794, 0.4364774227142334]","[-0.22749152779579163, -0.26352256536483765]","[-0.9274915456771851, -0.9635225534439087]","[0.699999988079071, 0.699999988079071]","[-0.7000000476837158, -0.699999988079071]",-1,1
3,916,3,"[1.7408605813980103, 1.7705479860305786]","[-0.21393853425979614, -0.184251070022583]","[-2.1687376499176025, -2.139050245285034]","[1.9547991752624512, 1.9547990560531616]","[-1.9547991752624512, -1.9547991752624512]",-1,1
3,916,5,"[2.828824758529663, 2.8151443004608154]","[-0.20934903621673584, -0.2230294793844223]","[-3.2475228309631348, -3.2612032890319824]","[3.0381736755371094, 3.0381736755371094]","[-3.0381736755371094, -3.0381739139556885]",-1,1
3,2469,1,"[1.18982994556427, 1.5598564147949219]","[0.48982998728752136, 0.859856367111206]","[-0.21017000079154968, 0.1598563939332962]","[0.6999999284744263, 0.7000000476837158]","[-0.699999988079071, -0.699999988079071]",-1,1
3,2469,3,"[2.360185146331787, 2.7404565811157227]","[0.4053861200809479, 0.7856574654579163]","[-1.5494129657745361, -1.1691415309906006]","[1.9547990560531616, 1.9547991752624512]","[-1.9547990560531616, -1.954798936843872]",-1,1
3,2469,5,"[3.3635404109954834, 3.6525487899780273]","[0.3253665864467621, 0.6143749952316284]","[-2.7128071784973145, -2.4237985610961914]","[3.0381739139556885, 3.0381736755371094]","[-3.0381736755371094, -3.0381736755371094]",-1,1
3,2007,1,"[0.6227846145629883, 0.6074153184890747]","[-0.07721538096666336, -0.09258466958999634]","[-0.7772153615951538, -0.7925846576690674]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,1
3,2007,3,"[1.870606780052185, 1.9181331396102905]","[-0.08419235795736313, -0.03666585311293602]","[-2.0389914512634277, -1.9914648532867432]","[1.9547991752624512, 1.954798936843872]","[-1.9547990560531616, -1.9547990560531616]",-1,1
3,2007,5,"[2.9408457279205322, 2.9425671100616455]","[-0.09732814133167267, -0.09560662508010864]","[-3.1355018615722656, -3.1337802410125732]","[3.0381739139556885, 3.0381736755371094]","[-3.0381736755371094, -3.0381736755371094]",-1,1
3,820,1,"[1.470267653465271, 1.5536919832229614]","[2.1702675819396973, 2.2536919116973877]","[2.870267629623413, 2.9536919593811035]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,0
3,820,3,"[-0.09854826331138611, 0.034275177866220474]","[1.8562507629394531, 1.9890742301940918]","[3.811049699783325, 3.943873167037964]","[-1.9547990560531616, -1.9547990560531616]","[1.954798936843872, 1.954798936843872]",1,0
3,820,5,"[-1.4601523876190186, -1.38478684425354]","[1.5780212879180908, 1.6533869504928589]","[4.616194725036621, 4.691560745239258]","[-3.0381736755371094, -3.0381736755371094]","[3.0381734371185303, 3.0381736755371094]",1,0
3,2221,1,"[-0.4936836063861847, -0.45522773265838623]","[0.20631639659404755, 0.244772270321846]","[0.9063163995742798, 0.9447722434997559]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,0
3,2221,3,"[-1.7941943407058716, -1.7001960277557373]","[0.16060473024845123, 0.2546030879020691]","[2.115403890609741, 2.209402084350586]","[-1.9547990560531616, -1.9547991752624512]","[1.9547991752624512, 1.954798936843872]",1,0
3,2221,5,"[-2.924147844314575, -2.882303237915039]","[0.11402599513530731, 0.15587061643600464]","[3.1521997451782227, 3.194044351577759]","[-3.0381739139556885, -3.0381739139556885]","[3.0381736755371094, 3.0381736755371094]",1,0
3,1876,1,"[2.8805458545684814, 2.8814878463745117]","[2.1805458068847656, 2.181488037109375]","[1.4805457592010498, 1.4814879894256592]","[0.7000000476837158, 0.6999998092651367]","[-0.7000000476837158, -0.7000000476837158]",-1,1
3,1876,3,"[3.8199241161346436, 3.88153338432312]","[1.8651247024536133, 1.926734447479248]","[-0.08967429399490356, -0.02806471660733223]","[1.9547994136810303, 1.954798936843872]","[-1.954798936843872, -1.9547991752624512]",-1,1
3,1876,5,"[4.623857021331787, 4.63773775100708]","[1.585682988166809, 1.5995638370513916]","[-1.4524906873703003, -1.4386100769042969]","[3.0381741523742676, 3.0381739139556885]","[-3.0381736755371094, -3.0381739139556885]",-1,1
3,2851,1,"[-1.2337499856948853, -1.1560040712356567]","[-0.5337499976158142, -0.4560041129589081]","[0.16625000536441803, 0.24399587512016296]","[-0.699999988079071, -0.6999999284744263]","[0.699999988079071, 0.699999988079071]",1,0
