seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
9,995,5,"[0.5775658488273621, 0.6515356302261353]","[-0.12243413925170898, -0.0484643429517746]","[-0.82243412733078, -0.7484643459320068]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,34,1,"[0.20143437385559082, 0.14589974284172058]","[0.9014343619346619, 0.8458997011184692]","[1.601434350013733, 1.545899748802185]","[-0.699999988079071, -0.6999999284744263]","[0.699999988079071, 0.7000000476837158]",1,1
9,34,3,"[0.20143437385559082, 0.14589974284172058]","[0.9014343619346619, 0.8458997011184692]","[1.601434350013733, 1.545899748802185]","[-0.699999988079071, -0.6999999284744263]","[0.699999988079071, 0.7000000476837158]",1,1
9,34,5,"[0.20143437385559082, 0.14589974284172058]","[0.9014343619346619, 0.8458997011184692]","[1.601434350013733, 1.545899748802185]","[-0.699999988079071, -0.6999999284744263]","[0.699999988079071, 0.7000000476837158]",1,1
9,2479,1,"[1.788342833518982, 2.0950767993927]","[2.488342761993408, 2.795076847076416]","[3.188342809677124, 3.4950766563415527]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
9,2479,3,"[1.788342833518982, 2.0950767993927]","[2.488342761993408, 2.795076847076416]","[3.188342809677124, 3.4950766563415527]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
9,2479,5,"[1.788342833518982, 2.0950767993927]","[2.488342761993408, 2.795076847076416]","[3.188342809677124, 3.4950766563415527]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999998092651367]",1,1
9,2643,1,"[-1.6283190250396729, -1.6517146825790405]","[-0.9283190369606018, -0.9517146944999695]","[-0.22831904888153076, -0.25171467661857605]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.7000000476837158]",1,1
9,2643,3,"[-1.6283190250396729, -1.6517146825790405]","[-0.9283190369606018, -0.9517146944999695]","[-0.22831904888153076, -0.25171467661857605]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.7000000476837158]",1,1
9,2643,5,"[-1.6283190250396729, -1.6517146825790405]","[-0.9283190369606018, -0.9517146944999695]","[-0.22831904888153076, -0.25171467661857605]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.7000000476837158]",1,1
9,1237,1,"[-0.9104970693588257, -0.944871187210083]","[-1.610496997833252, -1.6448711156845093]","[-2.3104970455169678, -2.3448710441589355]","[0.6999999284744263, 0.6999999284744263]","[-0.7000000476837158, -0.6999999284744263]",-1,0
