budget_type,budget,mechanism,utility,match,stored_bytes,inference_ops,total_capital_cost,performance_per_byte
memory_samples,5000,StandardizedKNNOutcomeTable,H_target_10,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_piecewise_15,0.6,4968,3312,15768,3.80517503805175e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_piecewise_15,0.6,4968,3312,15768,3.80517503805175e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_piecewise_18,0.6,4968,3312,15768,3.80517503805175e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_piecewise_18,0.6,4968,3312,15768,3.80517503805175e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,4968,3312,15768,6.341958396752917e-05
prototype_count,5,PrototypeOutcomeTable,H_linear_0,0.995,540,360,11340,8.774250440917108e-05
prototype_count,5,PrototypeOutcomeTable,H_linear_1,1.0,540,360,11340,8.818342151675486e-05
prototype_count,5,PrototypeOutcomeTable,H_linear_2,1.0,540,360,11340,8.818342151675486e-05
