state_dim,utility,utility_type,mechanism,heldout_match,far_ood_match,mean_nn_distance,total_capital_cost,parameter_cost_bytes,training_data_cost_bytes,inference_cost_ops,performance_per_byte
2,H_piecewise_18,piecewise,AEPCompressor,0.8133333333333334,0.56,1.6966583966215452,73732,52132,0,0,1.1030940885006963e-05
2,H_piecewise_18,piecewise,ResidualCompressor,0.795,0.605,1.6966583966215452,56120,34520,0,0,1.416607270135424e-05
2,H_piecewise_18,piecewise,CounterfactualCompressor,0.4483333333333333,0.555,1.6966583966215452,59820,38220,0,0,7.494706341245959e-06
2,H_piecewise_18,piecewise,PolicyClone,0.31666666666666665,0.225,1.6966583966215452,38220,38220,0,0,8.285365428222571e-06
2,H_piecewise_18,piecewise,RawMemoryOutcomeTableFull,0.4866666666666667,0.5,1.6966583966215452,26568,0,4968,3312,1.8317775770350297e-05
2,H_piecewise_18,piecewise,StandardizedKNNOutcomeTable,0.4866666666666667,0.5,1.6966583966215452,4968,0,4968,3312,9.796027911969942e-05
2,H_piecewise_18,piecewise,PrototypeOutcomeTable,0.47833333333333333,0.515,1.6966583966215452,27000,0,5400,3600,1.771604938271605e-05
2,H_multiobj_24,multiobj,AEPCompressor,1.0,1.0,1.6966583966215452,73732,52132,0,0,1.3562632235664297e-05
2,H_multiobj_24,multiobj,ResidualCompressor,1.0,1.0,1.6966583966215452,56120,34520,0,0,1.781895937277263e-05
2,H_multiobj_24,multiobj,CounterfactualCompressor,1.0,1.0,1.6966583966215452,59820,38220,0,0,1.6716817118020728e-05
2,H_multiobj_24,multiobj,PolicyClone,1.0,1.0,1.6966583966215452,38220,38220,0,0,2.6164311878597592e-05
2,H_multiobj_24,multiobj,RawMemoryOutcomeTableFull,1.0,1.0,1.6966583966215452,26568,0,4968,3312,3.7639265281541705e-05
2,H_multiobj_24,multiobj,StandardizedKNNOutcomeTable,1.0,1.0,1.6966583966215452,4968,0,4968,3312,0.00020128824476650564
2,H_multiobj_24,multiobj,PrototypeOutcomeTable,1.0,1.0,1.6966583966215452,27000,0,5400,3600,3.7037037037037037e-05
4,H_linear_2,linear,AEPCompressor,0.9983333333333333,0.835,2.2775578329960506,79876,58276,0,0,1.2498539402740914e-05
4,H_linear_2,linear,ResidualCompressor,0.9966666666666667,0.74,2.2775578329960506,62264,40664,0,0,1.6007109512184678e-05
4,H_linear_2,linear,CounterfactualCompressor,0.44166666666666665,0.455,2.2775578329960506,65964,44364,0,0,6.695571321731045e-06
4,H_linear_2,linear,PolicyClone,0.04666666666666667,0.235,2.2775578329960506,44364,44364,0,0,1.051903946142518e-06
4,H_linear_2,linear,RawMemoryOutcomeTableFull,0.9983333333333333,1.0,2.2775578329960506,26588,0,4988,3480,3.754826738879695e-05
