step,capital,action,oracle,correct,utility,regret
107,aep,0,0,1,-2.8308815956115723,0.0
108,aep,1,1,1,-5.756359100341797,0.0
109,aep,0,0,1,-5.7484965324401855,0.0
110,aep,1,2,0,-2.3785386085510254,1.0
111,aep,0,0,1,-5.233817100524902,0.0
112,aep,1,1,1,-2.637269973754883,0.0
113,aep,0,0,1,-5.598573207855225,0.0
114,aep,1,1,1,-4.892409324645996,0.0
115,aep,0,0,1,-5.359099864959717,0.0
116,aep,1,1,1,-8.605199813842773,0.0
117,aep,0,0,1,-5.355660438537598,0.0
118,aep,1,1,1,-4.964271545410156,0.0
119,aep,0,0,1,-4.106477737426758,0.0
120,aep,1,1,1,-2.1876635551452637,0.0
121,aep,0,0,1,-6.2743377685546875,0.0
122,aep,1,1,1,-5.383496284484863,0.0
123,aep,0,0,1,-5.712493896484375,0.0
124,aep,2,2,1,-6.207993507385254,0.0
125,aep,0,0,1,-5.359099864959717,0.0
126,aep,1,1,1,-6.904509544372559,0.0
127,aep,0,0,1,-4.385315895080566,0.0
128,aep,1,2,0,-2.953064441680908,1.0
129,aep,0,0,1,-8.667001724243164,0.0
130,aep,2,2,1,-4.306440353393555,0.0
131,aep,0,0,1,-5.060827255249023,0.0
132,aep,2,1,0,-2.6435699462890625,1.0
133,aep,0,0,1,-2.333218574523926,0.0
134,aep,0,0,1,0.4432964324951172,0.0
135,aep,0,0,1,-6.0090837478637695,0.0
136,aep,1,1,1,-7.061066627502441,0.0
137,aep,0,0,1,-4.517400741577148,0.0
138,aep,1,1,1,-3.0665340423583984,0.0
139,aep,0,0,1,-1.818875789642334,0.0
140,aep,1,1,1,-3.696622848510742,0.0
141,aep,0,0,1,-1.9509754180908203,0.0
142,aep,1,2,0,-2.3785386085510254,1.0
143,aep,0,0,1,-7.669284820556641,0.0
144,aep,1,2,0,-2.924614429473877,1.0
145,aep,0,0,1,-5.243520736694336,0.0
146,aep,1,1,1,-4.630207061767578,0.0
147,aep,0,0,1,-5.3968610763549805,0.0
148,aep,1,1,1,-2.425523042678833,0.0
149,aep,0,0,1,-6.760868072509766,0.0
150,aep,2,2,1,-6.207993507385254,0.0
151,aep,0,0,1,-7.111547946929932,0.0
152,aep,1,1,1,-2.4116406440734863,0.0
153,aep,0,0,1,-2.972459077835083,0.0
154,aep,1,1,1,-2.4405393600463867,0.0
155,aep,0,0,1,-2.8308815956115723,0.0
156,aep,1,1,1,-4.912177085876465,0.0
157,aep,0,0,1,-2.333218574523926,0.0
158,aep,1,1,1,-4.892409324645996,0.0
159,aep,0,0,1,-5.233817100524902,0.0
160,aep,2,2,1,-3.037444591522217,0.0
161,aep,0,0,1,-2.8308815956115723,0.0
162,aep,1,1,1,-6.876699447631836,0.0
163,aep,0,0,1,-7.669284820556641,0.0
164,aep,1,1,1,-3.0290699005126953,0.0
165,aep,0,0,1,-6.413800239562988,0.0
166,aep,1,1,1,-4.752829551696777,0.0
167,aep,0,0,1,-6.731232166290283,0.0
168,aep,1,1,1,-5.206290245056152,0.0
169,aep,0,0,1,-2.626309394836426,0.0
170,aep,2,2,1,-3.7253661155700684,0.0
171,aep,0,0,1,-4.22191858291626,0.0
172,aep,1,1,1,-3.1711461544036865,0.0
