strategy,perturbation,level,match,run
nomemory,directional_shift,0.06,0.445,2
nomemory,directional_shift,0.1,0.445,2
nomemory,directional_shift,0.2,0.445,2
nomemory,directional_shift,0.4,0.445,2
nomemory,directional_shift,0.8,0.445,2
nomemory,centroid_dropout,0.05,0.445,2
nomemory,centroid_dropout,0.1,0.445,2
nomemory,centroid_dropout,0.2,0.445,2
nomemory,centroid_dropout,0.35,0.445,2
nomemory,centroid_dropout,0.5,0.445,2
nomemory,centroid_dropout,0.7,0.445,2
nomemory,centroid_dropout,0.9,0.445,2
kmeans_20,additive_noise,0.01,0.115,3
kmeans_20,additive_noise,0.03,0.115,3
kmeans_20,additive_noise,0.06,0.115,3
kmeans_20,additive_noise,0.1,0.115,3
kmeans_20,additive_noise,0.2,0.12,3
kmeans_20,additive_noise,0.4,0.1,3
kmeans_20,additive_noise,0.8,0.135,3
kmeans_20,directional_shift,0.01,0.115,3
kmeans_20,directional_shift,0.03,0.115,3
kmeans_20,directional_shift,0.06,0.115,3
kmeans_20,directional_shift,0.1,0.115,3
kmeans_20,directional_shift,0.2,0.12,3
kmeans_20,directional_shift,0.4,0.12,3
kmeans_20,directional_shift,0.8,0.115,3
kmeans_20,centroid_dropout,0.05,0.12,3
kmeans_20,centroid_dropout,0.1,0.115,3
kmeans_20,centroid_dropout,0.2,0.095,3
kmeans_20,centroid_dropout,0.35,0.095,3
kmeans_20,centroid_dropout,0.5,0.13,3
kmeans_20,centroid_dropout,0.7,0.095,3
kmeans_20,centroid_dropout,0.9,0.095,3
y_aware_w5.0,additive_noise,0.01,0.505,3
y_aware_w5.0,additive_noise,0.03,0.495,3
y_aware_w5.0,additive_noise,0.06,0.495,3
y_aware_w5.0,additive_noise,0.1,0.555,3
y_aware_w5.0,additive_noise,0.2,0.535,3
y_aware_w5.0,additive_noise,0.4,0.52,3
y_aware_w5.0,additive_noise,0.8,0.425,3
y_aware_w5.0,directional_shift,0.01,0.505,3
y_aware_w5.0,directional_shift,0.03,0.5,3
y_aware_w5.0,directional_shift,0.06,0.525,3
y_aware_w5.0,directional_shift,0.1,0.495,3
y_aware_w5.0,directional_shift,0.2,0.535,3
y_aware_w5.0,directional_shift,0.4,0.52,3
y_aware_w5.0,directional_shift,0.8,0.53,3
y_aware_w5.0,centroid_dropout,0.05,0.5,3
y_aware_w5.0,centroid_dropout,0.1,0.525,3
y_aware_w5.0,centroid_dropout,0.2,0.53,3
y_aware_w5.0,centroid_dropout,0.35,0.48,3
y_aware_w5.0,centroid_dropout,0.5,0.5,3
y_aware_w5.0,centroid_dropout,0.7,0.38,3
y_aware_w5.0,centroid_dropout,0.9,0.46,3
per_action_kmeans,additive_noise,0.01,0.62,3
per_action_kmeans,additive_noise,0.03,0.585,3
per_action_kmeans,additive_noise,0.06,0.585,3
per_action_kmeans,additive_noise,0.1,0.54,3
per_action_kmeans,additive_noise,0.2,0.6,3
per_action_kmeans,additive_noise,0.4,0.49,3
per_action_kmeans,additive_noise,0.8,0.45,3
per_action_kmeans,directional_shift,0.01,0.595,3
per_action_kmeans,directional_shift,0.03,0.585,3
per_action_kmeans,directional_shift,0.06,0.59,3
per_action_kmeans,directional_shift,0.1,0.595,3
per_action_kmeans,directional_shift,0.2,0.61,3
per_action_kmeans,directional_shift,0.4,0.57,3
per_action_kmeans,directional_shift,0.8,0.52,3
per_action_kmeans,centroid_dropout,0.05,0.585,3
per_action_kmeans,centroid_dropout,0.1,0.615,3
per_action_kmeans,centroid_dropout,0.2,0.57,3
per_action_kmeans,centroid_dropout,0.35,0.54,3
per_action_kmeans,centroid_dropout,0.5,0.515,3
per_action_kmeans,centroid_dropout,0.7,0.505,3
per_action_kmeans,centroid_dropout,0.9,0.46,3
nomemory,additive_noise,0.01,0.445,3
nomemory,additive_noise,0.03,0.445,3
nomemory,additive_noise,0.06,0.445,3
nomemory,additive_noise,0.1,0.445,3
nomemory,additive_noise,0.2,0.445,3
nomemory,additive_noise,0.4,0.445,3
nomemory,additive_noise,0.8,0.445,3
nomemory,directional_shift,0.01,0.445,3
nomemory,directional_shift,0.03,0.445,3
nomemory,directional_shift,0.06,0.445,3
nomemory,directional_shift,0.1,0.445,3
nomemory,directional_shift,0.2,0.445,3
nomemory,directional_shift,0.4,0.445,3
nomemory,directional_shift,0.8,0.445,3
nomemory,centroid_dropout,0.05,0.445,3
nomemory,centroid_dropout,0.1,0.445,3
nomemory,centroid_dropout,0.2,0.445,3
nomemory,centroid_dropout,0.35,0.445,3
nomemory,centroid_dropout,0.5,0.445,3
nomemory,centroid_dropout,0.7,0.445,3
nomemory,centroid_dropout,0.9,0.445,3
kmeans_20,additive_noise,0.01,0.115,4
kmeans_20,additive_noise,0.03,0.115,4
kmeans_20,additive_noise,0.06,0.115,4
kmeans_20,additive_noise,0.1,0.12,4
kmeans_20,additive_noise,0.2,0.115,4
kmeans_20,additive_noise,0.4,0.115,4
kmeans_20,additive_noise,0.8,0.17,4
kmeans_20,directional_shift,0.01,0.115,4
kmeans_20,directional_shift,0.03,0.115,4
kmeans_20,directional_shift,0.06,0.115,4
kmeans_20,directional_shift,0.1,0.115,4
kmeans_20,directional_shift,0.2,0.115,4
kmeans_20,directional_shift,0.4,0.11,4
kmeans_20,directional_shift,0.8,0.14,4
kmeans_20,centroid_dropout,0.05,0.115,4
kmeans_20,centroid_dropout,0.1,0.125,4
kmeans_20,centroid_dropout,0.2,0.095,4
kmeans_20,centroid_dropout,0.35,0.145,4
kmeans_20,centroid_dropout,0.5,0.125,4
kmeans_20,centroid_dropout,0.7,0.14,4
kmeans_20,centroid_dropout,0.9,0.095,4
y_aware_w5.0,additive_noise,0.01,0.525,4
y_aware_w5.0,additive_noise,0.03,0.515,4
y_aware_w5.0,additive_noise,0.06,0.53,4
y_aware_w5.0,additive_noise,0.1,0.54,4
y_aware_w5.0,additive_noise,0.2,0.52,4
y_aware_w5.0,additive_noise,0.4,0.475,4
y_aware_w5.0,additive_noise,0.8,0.5,4
y_aware_w5.0,directional_shift,0.01,0.5,4
y_aware_w5.0,directional_shift,0.03,0.5,4
y_aware_w5.0,directional_shift,0.06,0.495,4
y_aware_w5.0,directional_shift,0.1,0.51,4
y_aware_w5.0,directional_shift,0.2,0.51,4
y_aware_w5.0,directional_shift,0.4,0.515,4
y_aware_w5.0,directional_shift,0.8,0.545,4
y_aware_w5.0,centroid_dropout,0.05,0.49,4
y_aware_w5.0,centroid_dropout,0.1,0.5,4
y_aware_w5.0,centroid_dropout,0.2,0.495,4
y_aware_w5.0,centroid_dropout,0.35,0.49,4
y_aware_w5.0,centroid_dropout,0.5,0.51,4
y_aware_w5.0,centroid_dropout,0.7,0.425,4
y_aware_w5.0,centroid_dropout,0.9,0.095,4
per_action_kmeans,additive_noise,0.01,0.605,4
per_action_kmeans,additive_noise,0.03,0.56,4
per_action_kmeans,additive_noise,0.06,0.525,4
per_action_kmeans,additive_noise,0.1,0.555,4
per_action_kmeans,additive_noise,0.2,0.58,4
per_action_kmeans,additive_noise,0.4,0.475,4
per_action_kmeans,additive_noise,0.8,0.52,4
per_action_kmeans,directional_shift,0.01,0.595,4
per_action_kmeans,directional_shift,0.03,0.59,4
per_action_kmeans,directional_shift,0.06,0.58,4
per_action_kmeans,directional_shift,0.1,0.615,4
per_action_kmeans,directional_shift,0.2,0.595,4
per_action_kmeans,directional_shift,0.4,0.6,4
per_action_kmeans,directional_shift,0.8,0.56,4
per_action_kmeans,centroid_dropout,0.05,0.575,4
per_action_kmeans,centroid_dropout,0.1,0.585,4
per_action_kmeans,centroid_dropout,0.2,0.5,4
per_action_kmeans,centroid_dropout,0.35,0.52,4
per_action_kmeans,centroid_dropout,0.5,0.5,4
per_action_kmeans,centroid_dropout,0.7,0.095,4
per_action_kmeans,centroid_dropout,0.9,0.46,4
nomemory,additive_noise,0.01,0.445,4
nomemory,additive_noise,0.03,0.445,4
nomemory,additive_noise,0.06,0.445,4
nomemory,additive_noise,0.1,0.445,4
nomemory,additive_noise,0.2,0.445,4
nomemory,additive_noise,0.4,0.445,4
nomemory,additive_noise,0.8,0.445,4
nomemory,directional_shift,0.01,0.445,4
nomemory,directional_shift,0.03,0.445,4
nomemory,directional_shift,0.06,0.445,4
nomemory,directional_shift,0.1,0.445,4
nomemory,directional_shift,0.2,0.445,4
nomemory,directional_shift,0.4,0.445,4
nomemory,directional_shift,0.8,0.445,4
nomemory,centroid_dropout,0.05,0.445,4
nomemory,centroid_dropout,0.1,0.445,4
nomemory,centroid_dropout,0.2,0.445,4
nomemory,centroid_dropout,0.35,0.445,4
nomemory,centroid_dropout,0.5,0.445,4
nomemory,centroid_dropout,0.7,0.445,4
nomemory,centroid_dropout,0.9,0.445,4
