capital_0,capital_1,capital_2,capital_3,step
0.21639541,0.34975353,0.24501398,0.18883704,332
0.21401885,0.3568949,0.24232312,0.18676314,333
0.21894313,0.3546589,0.24080493,0.18559304,334
0.21878752,0.35511762,0.24063377,0.18546113,335
0.21805836,0.35726678,0.2398318,0.18484305,336
0.21822393,0.35753804,0.2400139,0.18422411,337
0.21978867,0.35293138,0.24173489,0.18554506,338
0.2203095,0.351398,0.24230772,0.18598475,339
0.21916026,0.3495649,0.2462603,0.18501456,340
0.21679245,0.3565922,0.2435997,0.18301566,341
0.21625796,0.35571304,0.2429991,0.1850299,342
0.21663648,0.35633567,0.24342445,0.18360344,343
0.21804065,0.35216367,0.24500223,0.18479349,344
0.21399358,0.3539863,0.24627024,0.18574987,345
0.21049729,0.35556093,0.24736571,0.18657614,346
0.21041197,0.3554168,0.24767078,0.18650052,347
0.20937437,0.35859537,0.24644946,0.18558083,348
0.20991437,0.35952023,0.24450594,0.18605947,349
0.20681842,0.3542178,0.25564846,0.18331534,350
0.19991241,0.35730186,0.2578743,0.18491141,351
0.201476,0.3566036,0.25737035,0.18455005,352
0.20209542,0.3546255,0.25816163,0.18511744,353
0.2027061,0.35267535,0.25894174,0.18567683,354
0.20337898,0.353846,0.25648186,0.18629317,355
0.20360672,0.35424227,0.2567691,0.18538196,356
0.20146106,0.36104748,0.2540632,0.18342835,357
0.201259,0.36068538,0.25481123,0.18324438,358
0.20142658,0.36098567,0.25419083,0.18339695,359
0.20338932,0.35475886,0.25666773,0.18518402,360
0.20182887,0.35203707,0.26237074,0.18376324,361
0.20260195,0.3533855,0.26337573,0.18063675,362
0.20009202,0.35449785,0.26420474,0.18120535,363
0.20063506,0.35545996,0.26492178,0.17898321,364
0.19890955,0.35622722,0.26549363,0.17936955,365
0.19911028,0.35557756,0.26576155,0.17955057,366
0.19862427,0.3571506,0.26511285,0.17911229,367
0.2009947,0.36141294,0.25634256,0.18124987,368
0.20064427,0.3607828,0.2576391,0.18093385,369
0.20040733,0.36035675,0.25851578,0.1807202,370
0.19924568,0.36406437,0.2570173,0.17967266,371
0.1984215,0.366695,0.25595415,0.17892943,372
0.1906401,0.3702547,0.25843886,0.1806664,373
0.19098878,0.37093186,0.25708258,0.18099684,374
0.1958038,0.36872417,0.25555247,0.17991957,375
0.19541217,0.36798665,0.2550413,0.18155983,376
0.19560581,0.3683513,0.25430313,0.18173975,377
0.19528165,0.36774087,0.2555389,0.18143857,378
0.1878276,0.37114722,0.25790596,0.18311921,379
0.18909515,0.3736519,0.25289792,0.18435498,380
0.18955405,0.3721319,0.25351167,0.18480237,381
0.1867122,0.3815451,0.24971095,0.18203177,382
0.18784676,0.377787,0.2512283,0.18313788,383
0.18689963,0.3758822,0.25500363,0.1822145,384
0.18602134,0.37881514,0.25380528,0.18135822,385
0.18184608,0.38075826,0.25510713,0.18228847,386
0.18163571,0.38147467,0.254812,0.18207759,387
0.17946312,0.38248742,0.25548849,0.18256097,388
0.17844889,0.38032576,0.2540446,0.18718079,389
0.18019968,0.37424597,0.25653708,0.18901725,390
0.17993422,0.37516785,0.25615916,0.1887388,391
0.17904702,0.37331802,0.25982678,0.18780819,392
