seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
2,2186,train,none,5,"[0.4852793514728546, -1.2726508378982544]","[-0.08303949981927872, -1.8409696817398071]","[-2.098555088043213, -3.85648512840271]","[0.5683188438415527, 0.5683188438415527]","[-2.0155155658721924, -2.0155153274536133]",-1,1,"[[-4.332057952880859, -2.0708625316619873], [-3.9388604164123535, -1.7614105939865112], [-2.882197856903076, -1.428619623184204], [-2.4222400188446045, -1.38271164894104], [-2.008511781692505, -1.788686990737915], [-1.37139093875885, -2.347221851348877], [-0.7161285877227783, -3.1684553623199463], [-0.20651589334011078, -3.5447561740875244]]","[0.0, 0.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0]"
2,522,train,none,1,"[-2.356417179107666, -3.245054244995117]","[-1.9173426628112793, -2.8059794902801514]","[-1.8782680034637451, -2.766904830932617]","[-0.4390745162963867, -0.4390747547149658]","[0.03907465934753418, 0.03907465934753418]",1,0,"[[-0.21505309641361237, -3.2438817024230957], [-0.7898037433624268, -3.4651377201080322], [-1.4394465684890747, -3.8498635292053223], [-1.4472827911376953, -3.691362142562866], [-1.1408385038375854, -4.677830219268799], [-0.9739686250686646, -4.428679466247559], [-1.1453901529312134, -5.053271293640137], [-1.270531415939331, -3.640577554702759]]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
2,522,train,none,3,"[-2.377091407775879, -3.658658504486084]","[-1.1401447057724, -2.4217116832733154]","[-0.9574200510978699, -2.2389869689941406]","[-1.236946702003479, -1.2369468212127686]","[0.18272465467453003, 0.1827247142791748]",1,0,"[[-0.21505309641361237, -3.2438817024230957], [-0.7898037433624268, -3.4651377201080322], [-1.4394465684890747, -3.8498635292053223], [-1.4472827911376953, -3.691362142562866], [-1.1408385038375854, -4.677830219268799], [-0.9739686250686646, -4.428679466247559], [-1.1453901529312134, -5.053271293640137], [-1.270531415939331, -3.640577554702759]]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
2,522,train,none,5,"[-2.8440990447998047, -3.8528594970703125]","[-0.9063543677330017, -1.9151146411895752]","[-0.451680988073349, -1.4604411125183105]","[-1.9377446174621582, -1.9377448558807373]","[0.4546733796596527, 0.45467352867126465]",1,0,"[[-0.21505309641361237, -3.2438817024230957], [-0.7898037433624268, -3.4651377201080322], [-1.4394465684890747, -3.8498635292053223], [-1.4472827911376953, -3.691362142562866], [-1.1408385038375854, -4.677830219268799], [-0.9739686250686646, -4.428679466247559], [-1.1453901529312134, -5.053271293640137], [-1.270531415939331, -3.640577554702759]]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
2,2275,train,none,1,"[-4.713778018951416, -3.736164093017578]","[-4.684317588806152, -3.7067034244537354]","[-5.054856777191162, -4.077242374420166]","[-0.029460430145263672, -0.029460668563842773]","[-0.37053918838500977, -0.37053894996643066]",0,1,"[[-4.597393989562988, -3.932267665863037], [-3.293400526046753, -4.114238262176514], [-2.4002270698547363, -4.259355068206787], [-2.947614908218384, -4.210982322692871], [-3.340852975845337, -4.2378740310668945], [-3.1229934692382812, -5.370297908782959], [-3.804445743560791, -4.9603495597839355], [-4.183136463165283, -4.58870792388916]]","[1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
2,2275,train,none,3,"[-3.6949052810668945, -3.2921807765960693]","[-3.6373395919799805, -3.2346150875091553]","[-4.689284324645996, -4.286559581756592]","[-0.05756568908691406, -0.05756568908691406]","[-1.0519447326660156, -1.0519444942474365]",0,1,"[[-4.597393989562988, -3.932267665863037], [-3.293400526046753, -4.114238262176514], [-2.4002270698547363, -4.259355068206787], [-2.947614908218384, -4.210982322692871], [-3.340852975845337, -4.2378740310668945], [-3.1229934692382812, -5.370297908782959], [-3.804445743560791, -4.9603495597839355], [-4.183136463165283, -4.58870792388916]]","[1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
2,2275,train,none,5,"[-3.1899752616882324, -2.678662061691284]","[-3.1600728034973145, -2.6487600803375244]","[-4.829599380493164, -4.318285942077637]","[-0.02990245819091797, -0.029901981353759766]","[-1.6695265769958496, -1.6695258617401123]",0,1,"[[-4.597393989562988, -3.932267665863037], [-3.293400526046753, -4.114238262176514], [-2.4002270698547363, -4.259355068206787], [-2.947614908218384, -4.210982322692871], [-3.340852975845337, -4.2378740310668945], [-3.1229934692382812, -5.370297908782959], [-3.804445743560791, -4.9603495597839355], [-4.183136463165283, -4.58870792388916]]","[1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
2,2086,train,none,1,"[-3.355487823486328, -1.8723714351654053]","[-3.3925957679748535, -1.9094793796539307]","[-3.8297038078308105, -2.3465874195098877]","[0.03710794448852539, 0.03710794448852539]","[-0.43710803985595703, -0.43710803985595703]",-1,1,"[[-2.988924980163574, -3.047102212905884], [-3.000317096710205, -2.9962379932403564], [-3.532809257507324, -3.404221296310425], [-4.219212532043457, -4.4187092781066895], [-3.8229479789733887, -3.5317580699920654], [-4.345243453979492, -2.709022045135498], [-3.6620655059814453, -2.851257801055908], [-2.823429584503174, -2.6968932151794434]]","[1.0, -1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0]"
2,2086,train,none,3,"[-2.3213388919830322, -1.462398648262024]","[-2.4715607166290283, -1.6126203536987305]","[-3.683483600616455, -2.8245432376861572]","[0.1502218246459961, 0.15022170543670654]","[-1.2119228839874268, -1.2119228839874268]",-1,1,"[[-2.988924980163574, -3.047102212905884], [-3.000317096710205, -2.9962379932403564], [-3.532809257507324, -3.404221296310425], [-4.219212532043457, -4.4187092781066895], [-3.8229479789733887, -3.5317580699920654], [-4.345243453979492, -2.709022045135498], [-3.6620655059814453, -2.851257801055908], [-2.823429584503174, -2.6968932151794434]]","[1.0, -1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0]"
2,2086,train,none,5,"[-1.7495157718658447, -0.8264680504798889]","[-2.107957363128662, -1.184909701347351]","[-4.002394199371338, -3.079346179962158]","[0.3584415912628174, 0.35844165086746216]","[-1.8944368362426758, -1.8944364786148071]",-1,1,"[[-2.988924980163574, -3.047102212905884], [-3.000317096710205, -2.9962379932403564], [-3.532809257507324, -3.404221296310425], [-4.219212532043457, -4.4187092781066895], [-3.8229479789733887, -3.5317580699920654], [-4.345243453979492, -2.709022045135498], [-3.6620655059814453, -2.851257801055908], [-2.823429584503174, -2.6968932151794434]]","[1.0, -1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0]"
