seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
3,2521,train,none,1,"[-2.0749189853668213, -3.0732386112213135]","[-2.1054940223693848, -3.103813409805298]","[-2.536068916320801, -3.534388542175293]","[0.030575037002563477, 0.030574798583984375]","[-0.430574893951416, -0.4305751323699951]",-1,1,"[[-1.8955912590026855, -2.076223611831665], [-1.6108187437057495, -2.383615732192993], [-1.3673810958862305, -2.2983977794647217], [-1.441490888595581, -2.126387596130371], [-1.5705565214157104, -2.2164809703826904], [-1.5959525108337402, -1.9649035930633545], [-2.1043360233306885, -2.5530340671539307], [-2.4348552227020264, -3.2635631561279297]]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]"
3,2521,train,none,3,"[-1.8669278621673584, -2.4665863513946533]","[-2.000068187713623, -2.599726915359497]","[-3.200127363204956, -3.79978609085083]","[0.13314032554626465, 0.13314056396484375]","[-1.200059175491333, -1.200059175491333]",-1,1,"[[-1.8955912590026855, -2.076223611831665], [-1.6108187437057495, -2.383615732192993], [-1.3673810958862305, -2.2983977794647217], [-1.441490888595581, -2.126387596130371], [-1.5705565214157104, -2.2164809703826904], [-1.5959525108337402, -1.9649035930633545], [-2.1043360233306885, -2.5530340671539307], [-2.4348552227020264, -3.2635631561279297]]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]"
3,2521,train,none,5,"[-1.646509051322937, -2.3698439598083496]","[-1.9228699207305908, -2.646205186843872]","[-3.7772276401519775, -4.500563144683838]","[0.2763608694076538, 0.27636122703552246]","[-1.8543577194213867, -1.8543579578399658]",-1,1,"[[-1.8955912590026855, -2.076223611831665], [-1.6108187437057495, -2.383615732192993], [-1.3673810958862305, -2.2983977794647217], [-1.441490888595581, -2.126387596130371], [-1.5705565214157104, -2.2164809703826904], [-1.5959525108337402, -1.9649035930633545], [-2.1043360233306885, -2.5530340671539307], [-2.4348552227020264, -3.2635631561279297]]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]"
3,1540,train,none,1,"[-2.6282410621643066, -1.8805711269378662]","[-2.676046133041382, -1.9283760786056519]","[-3.1238510608673096, -2.376181125640869]","[0.047805070877075195, 0.047804951667785645]","[-0.44780492782592773, -0.4478050470352173]",-1,1,"[[-3.2381033897399902, -2.6030778884887695], [-3.0893406867980957, -2.354450225830078], [-3.0159239768981934, -2.3829779624938965], [-2.9899513721466064, -2.6218760013580322], [-3.383129119873047, -2.4938526153564453], [-3.3466665744781494, -2.38761830329895], [-3.2562358379364014, -2.2444217205047607], [-3.0354363918304443, -2.0262606143951416]]","[0.0, 1.0, 0.0, -1.0, 0.0, 1.0, 0.0, 1.0]"
3,1540,train,none,3,"[-2.3243134021759033, -1.3482164144515991]","[-2.514991521835327, -1.538894534111023]","[-3.7562296390533447, -2.78013277053833]","[0.19067811965942383, 0.19067811965942383]","[-1.2412381172180176, -1.2412382364273071]",-1,1,"[[-3.2381033897399902, -2.6030778884887695], [-3.0893406867980957, -2.354450225830078], [-3.0159239768981934, -2.3829779624938965], [-2.9899513721466064, -2.6218760013580322], [-3.383129119873047, -2.4938526153564453], [-3.3466665744781494, -2.38761830329895], [-3.2562358379364014, -2.2444217205047607], [-3.0354363918304443, -2.0262606143951416]]","[0.0, 1.0, 0.0, -1.0, 0.0, 1.0, 0.0, 1.0]"
3,1540,train,none,5,"[-2.006387233734131, -1.3076030015945435]","[-2.3875882625579834, -1.6888039112091064]","[-4.295608997344971, -3.5968246459960938]","[0.38120102882385254, 0.381200909614563]","[-1.9080207347869873, -1.9080207347869873]",-1,1,"[[-3.2381033897399902, -2.6030778884887695], [-3.0893406867980957, -2.354450225830078], [-3.0159239768981934, -2.3829779624938965], [-2.9899513721466064, -2.6218760013580322], [-3.383129119873047, -2.4938526153564453], [-3.3466665744781494, -2.38761830329895], [-3.2562358379364014, -2.2444217205047607], [-3.0354363918304443, -2.0262606143951416]]","[0.0, 1.0, 0.0, -1.0, 0.0, 1.0, 0.0, 1.0]"
3,2564,train,none,1,"[-2.8202457427978516, -3.188966989517212]","[-2.386143207550049, -2.754864454269409]","[-2.3520405292510986, -2.720761775970459]","[-0.43410253524780273, -0.43410253524780273]","[0.034102678298950195, 0.034102678298950195]",1,0,"[[-2.1233062744140625, -1.9900829792022705], [-2.701491594314575, -2.4792234897613525], [-3.0205748081207275, -2.9105381965637207], [-2.926297664642334, -2.9575552940368652], [-2.9047207832336426, -2.7637276649475098], [-3.092294216156006, -2.89255952835083], [-2.8950347900390625, -2.9338600635528564], [-2.7302753925323486, -2.8962483406066895]]","[1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 1.0, 1.0]"
3,2564,train,none,3,"[-3.4615232944488525, -3.492969036102295]","[-2.253354072570801, -2.2848000526428223]","[-2.1081528663635254, -2.139599084854126]","[-1.2081692218780518, -1.2081689834594727]","[0.1452012062072754, 0.1452009677886963]",1,0,"[[-2.1233062744140625, -1.9900829792022705], [-2.701491594314575, -2.4792234897613525], [-3.0205748081207275, -2.9105381965637207], [-2.926297664642334, -2.9575552940368652], [-2.9047207832336426, -2.7637276649475098], [-3.092294216156006, -2.89255952835083], [-2.8950347900390625, -2.9338600635528564], [-2.7302753925323486, -2.8962483406066895]]","[1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 1.0, 1.0]"
3,2564,train,none,5,"[-4.015910625457764, -4.226433753967285]","[-2.151460647583008, -2.3619837760925293]","[-1.852982521057129, -2.0635058879852295]","[-1.8644499778747559, -1.8644499778747559]","[0.2984781265258789, 0.2984778881072998]",1,0,"[[-2.1233062744140625, -1.9900829792022705], [-2.701491594314575, -2.4792234897613525], [-3.0205748081207275, -2.9105381965637207], [-2.926297664642334, -2.9575552940368652], [-2.9047207832336426, -2.7637276649475098], [-3.092294216156006, -2.89255952835083], [-2.8950347900390625, -2.9338600635528564], [-2.7302753925323486, -2.8962483406066895]]","[1.0, -1.0, -1.0, 0.0, 1.0, -1.0, 1.0, 1.0]"
3,1727,train,none,1,"[-2.68756103515625, -2.7155568599700928]","[-2.7128756046295166, -2.7408714294433594]","[-3.1381900310516357, -3.1661858558654785]","[0.0253145694732666, 0.0253145694732666]","[-0.42531442642211914, -0.42531442642211914]",-1,1,"[[-3.573258399963379, -2.9800100326538086], [-3.882507085800171, -2.954598903656006], [-4.04292106628418, -3.027193546295166], [-3.8281331062316895, -2.879279851913452], [-3.4868123531341553, -2.5591626167297363], [-3.124049663543701, -2.3840041160583496], [-3.227907657623291, -2.847116231918335], [-3.074204206466675, -2.881518840789795]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0]"
3,1727,train,none,3,"[-2.431918144226074, -2.1558597087860107]","[-2.5482301712036133, -2.2721714973449707]","[-3.7357075214385986, -3.459648847579956]","[0.11631202697753906, 0.11631178855895996]","[-1.1874773502349854, -1.1874773502349854]",-1,1,"[[-3.573258399963379, -2.9800100326538086], [-3.882507085800171, -2.954598903656006], [-4.04292106628418, -3.027193546295166], [-3.8281331062316895, -2.879279851913452], [-3.4868123531341553, -2.5591626167297363], [-3.124049663543701, -2.3840041160583496], [-3.227907657623291, -2.847116231918335], [-3.074204206466675, -2.881518840789795]]","[0.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0]"
