step,task,reward_PolicyClone,reward_PrototypeOutcome,reward_AEP,reward_GoalInference,reward_SafeFallback,oracle_correct_set,oracle_set_size,strict_oracle_best_capital,strict_oracle_best_reward,BS_chosen,BS_reward,BS_in_oracle_set,BS_strict_hit,OH_chosen,OH_reward,LogisticRegressionSelector_chosen,LogisticRegressionSelector_reward,LogisticRegressionSelector_oracle_set_hit,LogisticRegressionSelector_strict_hit,RandomForestSelector_chosen,RandomForestSelector_reward,RandomForestSelector_oracle_set_hit,RandomForestSelector_strict_hit,MLPReportSelector_chosen,MLPReportSelector_reward,MLPReportSelector_oracle_set_hit,MLPReportSelector_strict_hit
391,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
392,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
393,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
394,Task_A,0.0,1.0,0.0,0.0,0.0,PrototypeOutcome,1,PrototypeOutcome,1.0,AEP,0.0,0,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
395,Task_A,1.0,0.0,0.0,0.0,0.0,PolicyClone,1,PolicyClone,1.0,AEP,0.0,0,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
396,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
397,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
398,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
399,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
400,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
401,Task_A,0.0,1.0,0.0,0.0,0.0,PrototypeOutcome,1,PrototypeOutcome,1.0,AEP,0.0,0,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
402,Task_A,0.0,0.0,1.0,0.0,0.0,AEP,1,AEP,1.0,AEP,1.0,1,1,AEP,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
403,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
404,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
405,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
406,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
407,Task_A,0.0,0.0,0.0,0.0,0.0,NONE,0,SafeFallback,0.0,AEP,0.0,0,0,PolicyClone,0.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
408,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
409,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
410,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
411,Task_C,0.0,0.0,0.0,0.0,0.0,NONE,0,SafeFallback,0.0,AEP,0.0,0,0,PolicyClone,0.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
