budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
memory,inf,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.63,119988
memory,inf,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.63,119988
memory,inf,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,119988
prototype,,10.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,1080
prototype,,10.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,1080
prototype,,10.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,1080
prototype,,10.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,1080
prototype,,10.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,1080
prototype,,10.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.985,1080
prototype,,10.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,1080
prototype,,10.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,1080
prototype,,10.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,1080
prototype,,10.0,PrototypeOutcomeTable,H_target_9,target,2,0.515,1080
prototype,,10.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,1080
prototype,,10.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.485,1080
prototype,,10.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.485,1080
prototype,,10.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,1080
prototype,,25.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,2700
prototype,,25.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,2700
prototype,,25.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,2700
prototype,,25.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,2700
prototype,,25.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,2700
prototype,,25.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.985,2700
prototype,,25.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,2700
prototype,,25.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,2700
prototype,,25.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,2700
prototype,,25.0,PrototypeOutcomeTable,H_target_9,target,2,0.51,2700
prototype,,25.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,2700
prototype,,25.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.52,2700
prototype,,25.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.52,2700
prototype,,25.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,2700
prototype,,50.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,5400
prototype,,50.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,5400
prototype,,50.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,5400
prototype,,50.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,5400
prototype,,50.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,5400
prototype,,50.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.985,5400
prototype,,50.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,5400
prototype,,50.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,5400
prototype,,50.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,5400
prototype,,50.0,PrototypeOutcomeTable,H_target_9,target,2,0.525,5400
prototype,,50.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,5400
prototype,,50.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.565,5400
prototype,,50.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.565,5400
prototype,,50.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,5400
prototype,,100.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,10800
prototype,,100.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,10800
prototype,,100.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,10800
prototype,,100.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,10800
prototype,,100.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,10800
prototype,,100.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.985,10800
