step,allocator,cost_normalized_regret
506,CyberAllocator,0.0
507,CyberAllocator,0.0
508,CyberAllocator,0.0
509,CyberAllocator,0.0
510,CyberAllocator,0.0
511,CyberAllocator,0.0
512,CyberAllocator,0.0
513,CyberAllocator,0.0
514,CyberAllocator,0.0
515,CyberAllocator,0.0
516,CyberAllocator,0.0
517,CyberAllocator,0.0
518,CyberAllocator,0.0
519,CyberAllocator,0.0
520,CyberAllocator,0.0
521,CyberAllocator,0.0
522,CyberAllocator,0.0
523,CyberAllocator,0.0
524,CyberAllocator,0.02624868756562172
525,CyberAllocator,0.0
526,CyberAllocator,0.0
527,CyberAllocator,0.0
528,CyberAllocator,0.0
529,CyberAllocator,0.0
530,CyberAllocator,0.0
531,CyberAllocator,0.0
532,CyberAllocator,0.0
533,CyberAllocator,0.02669866506674666
534,CyberAllocator,0.0
535,CyberAllocator,0.0
536,CyberAllocator,0.0
537,CyberAllocator,0.0
538,CyberAllocator,0.0
539,CyberAllocator,0.0
540,CyberAllocator,0.027048647567621615
541,CyberAllocator,0.02709864506774661
542,CyberAllocator,0.027148642567871605
543,CyberAllocator,0.0271986400679966
544,CyberAllocator,0.027248637568121594
545,CyberAllocator,0.027298635068246587
546,CyberAllocator,0.027348632568371584
547,CyberAllocator,0.027398630068496573
548,CyberAllocator,0.02744862756862157
549,CyberAllocator,0.027498625068746563
550,CyberAllocator,0.027548622568871556
551,CyberAllocator,0.02759862006899655
552,CyberAllocator,0.027648617569121545
553,CyberAllocator,0.027698615069246535
554,CyberAllocator,0.027748612569371535
555,CyberAllocator,0.027798610069496524
556,CyberAllocator,0.027848607569621518
557,CyberAllocator,0.027898605069746514
558,CyberAllocator,0.027948602569871507
559,CyberAllocator,0.027998600069996497
560,CyberAllocator,0.0
561,CyberAllocator,0.0
562,CyberAllocator,0.0
563,CyberAllocator,0.0
564,CyberAllocator,0.0
565,CyberAllocator,0.0
566,CyberAllocator,0.0
567,CyberAllocator,0.0
568,CyberAllocator,0.0
569,CyberAllocator,0.0
570,CyberAllocator,0.0
571,CyberAllocator,0.0
572,CyberAllocator,0.028648567571621417
573,CyberAllocator,0.0
574,CyberAllocator,0.0
575,CyberAllocator,0.0
576,CyberAllocator,0.0
577,CyberAllocator,0.0
578,CyberAllocator,0.0
579,CyberAllocator,0.0
580,CyberAllocator,0.0
581,CyberAllocator,0.029098545072746364
582,CyberAllocator,0.0
583,CyberAllocator,0.0
584,CyberAllocator,0.0
585,CyberAllocator,0.0
586,CyberAllocator,0.0
587,CyberAllocator,0.0
588,CyberAllocator,0.0
589,CyberAllocator,0.0
590,CyberAllocator,0.0
591,CyberAllocator,0.0
592,CyberAllocator,0.0
593,CyberAllocator,0.0
594,CyberAllocator,0.0
595,CyberAllocator,0.029798510074496277
596,CyberAllocator,0.0
597,CyberAllocator,0.0
598,CyberAllocator,0.0
599,CyberAllocator,0.0
